rank,name,city
476,Dr. C.V. Raman University,Bilaspur
477,Sambalpur University,Burla
478,Assam Down Town University,Guwahati
479,Vasantrao Naik Marathwada Krishi Vidyapeeth,Parbhani ...
480,Tumkur University,Tumkur
481,KLE Technological University,Hubli
482,Cooch Behar Panchanan Barma University,Cooch Behar
483,Mother Teresa Women's University,Kodaikanal
484,The National University of Advanced Legal Studies,Kochi
485,Techno India University,Kolkata
486,Doon University,Dehradun
487,Chanakya National Law University,Patna
488,"Indian Institute of Information Technology, Sri City",Sri City
489,Berhampur University,Berhampur
490,Sandip University,Nashik ...
491,DAV University,Jalandhar
492,Rama University,Kanpur
493,IIHMR University,Jaipur
494,"National Institute of Pharmaceutical Education and Research, Hyderabad",Hyderabad
495,Delhi Pharmaceutical Sciences and Research University,New Delhi
496,Chaudhary Bansi Lal University,Bhiwani
497,Dayananda Sagar University,Bangalore
498,"National Institute of Technology, Arunachal Pradesh",Yupia
499,Dev Sanskriti Vishwavidyalaya,Shantikunj
500,Sido Kanhu Murmu University,Dumka
501,Central University of Karnataka,Gulbarga
502,Rajiv Gandhi Institute of Petroleum Technology,Raebareli
503,Central University of Gujarat,Gandhinagar
504,Lingaya's University,Faridabad
505,Tilak Maharashtra Vidyapeeth,Pune
506,Awadhesh Pratap Singh University,Rewa
507,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Kanchipuram
508,Central Institute of Higher Tibetan Studies,Varanasi
509,Vikram University,Ujjain
510,AKS University,Satna
511,Aryabhatta Knowledge University,Patna
512,Homi Bhabha National Institute,Mumbai
513,Kerala Veterinary and Animal Sciences University,Pookode
514,Rayat-Bahra University,Kharar
515,Jain Vishva Bharati Institute,Ladnun
516,National Law University Odisha,Cuttack
517,Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu,Jammu
518,Telangana University,Nizamabad
519,Central University of Kerala,Kasaragod
520,Indira Gandhi Krishi Vishwavidyalaya,Raipur
521,Indira Gandhi Delhi Technical University for Women,New Delhi
522,Mody University of Science and Technology,Lakshmangarh
523,Kalinga University,Raipur
524,IMS Unison University,Dehradun
525,"International Institute of Information Technology, Bhubaneswar",Bhubaneswar
526,Jawaharlal Nehru Architecture and Fine Arts University,Hyderabad
527,Tamil Nadu Physical Education and Sports University,Chennai
528,U.P. Pt. Deen Dayal Upadhyaya Veterinary Science University and Cattle Research Institute,Mathura
529,"School of Planning and Architecture, Vijayawada",Vijayawada
530,Forest Research Institute,Dehradun
531,Maharaja Surajmal Brij University,Bharatpur
532,Mewar University,Chittorgarh
533,Bhartiya Skill Development University,Jaipur
534,"National Institute of Pharmaceutical Education and Research, Guwahati",Guwahati
535,Career Point University,Hamirpur ...
536,Swami Keshwanand Rajasthan Agricultural University,Bikaner
537,OPJS University,Churu
538,Ajeenkya D.Y. Patil University,Pune
539,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Akola
540,Maharana Pratap University of Agriculture and Technology,Udaipur
541,Kannada University,Vidyaranya
542,Ravenshaw University,Cuttack
543,Madhav University,Pindwara
544,Maharashtra Animal and Fishery Sciences University,Nagpur
545,Binod Bihari Mahto Koyalanchal University,Dhanbad
546,Himalayan University,Itanagar
547,Raj Rishi Bharthari Matsya University,Alwar
548,Birsa Agricultural University,Ranchi
549,Dr. B.R. Ambedkar University,Etcherla
550,Harcourt Butler Technical University,Kanpur
551,Krishna University,Machilipatnam
552,Krishna Institute of Medical Sciences,Karad
553,Karnavati University,Gandhinagar
554,Maharishi University of Management and Technology,Bilaspur ...
555,Lakshmibai National Institute of Physical Education,Gwalior
556,Gujarat Forensic Sciences University,Gandhinagar
557,"National Institute of Technology, Manipur",Imphal
558,West Bengal State University,Barasat
559,Maharaja Chhatrasal Bundelkhand University,Chhatarpur
560,National Law University and Judicial Academy,Guwahati
561,Sidho Kanho Birsha University,Purulia ...
562,Babu Banarasi Das University,Lucknow
563,Jagannath University,Jaipur
564,Uttar Banga Krishi Viswavidyalaya,Pundibari
565,"Institute of Infrastructure, Technology, Research and Management",Ahmedabad
566,Central Agricultural University,Imphal
567,Vishwakarma University,Pune
568,Sri Balaji Vidyapeeth,Puducherry
569,Thunchath Ezhuthachan Malayalam University,Tirur
570,CMR University,Bangalore
571,Potti Sreeramulu Telugu University,Hyderabad
572,Vivekananda Global University,Jaipur
573,Sree Sankaracharya University of Sanskrit,Kalady
574,Sanskriti University,Mathura
575,"Mahatma Gandhi University, Nalgonda",Nalgonda
576,Thiruvalluvar University,Vellore
577,"ICFAI University, Dehradun",Dehradun
578,Sri Venkateswara Veterinary University,Tirupati
579,Vikrama Simhapuri University,Nellore
580,Uttar Pradesh University of Medical Sciences,Saifai
581,"Rani Channamma University, Belagavi",Belagavi
582,Anant National University,Ahmedabad
583,Bihar Agricultural University,Bhagalpur
584,Yogi Vemana University,Kadapa
585,Sardar Vallabhbhai Patel University of Agriculture and Technology,Meerut
586,"Indian Institute of Information Technology, Guwahati",Guwahati
587,Indian Institute of Teacher Education,Gandhinagar
588,Bankura University,Bankura
589,Sri Dev Suman Uttarakhand University,Badshahithaul
590,MGM Institute of Health Sciences,Navi Mumbai
591,Uttarakhand Ayurved University,Dehradun
592,Mahatma Gandhi University of Medical Sciences and Technology,Jaipur
593,Rani Lakshmi Bai Central Agricultural University,Jhansi
594,Rabindranath Tagore University,Mendua Village
595,Rai University,Ahmedabad
596,"Indian Institute of Information Technology, Lucknow",Lucknow
597,Sir Padampat Singhania University,Udaipur
598,Kerala Kalamandalam,Cheruthuruthi
599,Maharishi Mahesh Yogi Vedic Vishwavidyalaya,Katni ...
600,Swami Rama Himalayan University,Dehradun
601,BLDE University,Bijapur
602,"Chitkara University, Himachal Pradesh",Kalujhanda
603,Indus University,Ahmedabad
604,Sri Sri University,Cuttack
605,Bastar Vishwavidyalaya,Bastar
606,"Pacific University, India",Udaipur
607,IEC University,Kalujhanda
608,Gangadhar Meher University,Sambalpur
609,"Indian Institute of Information Technology, Una",Una
610,Shri Vishwakarma Skill University,Gurugram
611,West Bengal University of Animal and Fishery Sciences,Kolkata
612,Janardan Rai Nagar Rajasthan Vidhyapeeth University,Udaipur
613,Medi-Caps University,Indore
614,Children's University,Gandhinagar
615,Jayoti Vidyapeeth Women's University,Jaipur
616,Deccan College Post-Graduate and Research Institute,Pune
617,Dr. Y.S.R. Horticultural University,Tadepalligudem
618,Himgiri ZEE University,Dehradun
619,Jagadguru Ramanandacharya Rajasthan Sanskrit University,Jaipur
620,RK University,Rajkot
